,ParticipantId,Distance,Size,Duration
0,1,near,small,2060.770833333333
1,1,near,big,2816.020833333333
2,1,far,small,4552.916666666667
3,1,far,big,5382.895833333333
6,1,mid,small,1847.0625
7,1,mid,big,2052.3125
8,2,near,small,1802.5208333333333
9,2,near,big,2169.0
10,2,far,small,2743.2291666666665
11,2,far,big,2159.1041666666665
14,2,mid,small,1923.56
15,2,mid,big,1749.42
16,3,near,small,1635.8333333333333
17,3,near,big,2204.785714285714
18,3,far,small,3470.673076923077
19,3,far,big,2937.096153846154
22,3,mid,small,1876.0238095238096
23,3,mid,big,1846.071428571429
24,4,near,small,2574.740740740741
25,4,near,big,2783.703703703704
26,4,far,small,4287.243902439024
27,4,far,big,4182.463414634146
30,4,mid,small,2578.785714285714
31,4,mid,big,2398.4634146341464
32,5,near,small,1638.8333333333333
33,5,near,big,2225.2380952380954
34,5,far,small,2792.6290322580644
35,5,far,big,2559.2419354838707
38,5,mid,small,2181.7380952380954
39,5,mid,big,2394.7619047619046
40,6,near,small,1610.309523809524
41,6,near,big,2299.404761904762
42,6,far,small,2845.609756097561
43,6,far,big,2878.829268292683
46,6,mid,small,1756.6666666666667
47,6,mid,big,1798.3333333333333
48,7,near,small,1646.904761904762
49,7,near,big,2774.0476190476197
50,7,far,small,2744.2380952380954
51,7,far,big,2939.428571428572
54,7,mid,small,1665.5
55,7,mid,big,1804.357142857143
